priority,family,intermediates,needed_evidence,current_status,progress_class,evidence_artifact,next_action
A1,HF/surface precursor,"HF at Si/N/O, hydrogen-bonded HF, multiple sites/orientations","Binding minimum, adsorption/desorption kinetics, charge state",Eight force-converged coadsorbate starts; full mobile-host Hessians reveal unstable parent reference; screened energies gated; no new rates,partial_calculated_candidates,docs/intermediate_results/FULL_STABILITY.md,Resolve remaining soft modes; DFT comparison; matched termination and proton-transfer pathways
A2,Sequential Si-N cleavage,SiF0/1/2/3 with explicit remaining Si-N bonds and N-H/NH2 state,"Matched relaxed IS/FS, one TS mode, downhill connectivity; prefactor",Published stage-specific Ea available; chaining source environments is a hypothesis,open,,"Matched relaxed IS/FS, one TS mode, downhill connectivity; prefactor"
A3,Final SiF4 release,"Bridge-NH, bare-N, terminal-NH2 and Si-Si backbond variants",Separate detachment/recombination/product adsorption and desorption,"Graph plateau: 13 bare-N and 8 NH2 sites blocked; SiF3NH2/HF proxy has two failed NEBs, two-basis DFT diagnostics and corrected three-coordinate scan; no qualified TS",critical_blocker_demonstrated,docs/final_cleavage_results/REPORT.md,Highest priority: matched SiF3-N final-cleavage IS/TS/FS; separate cleavage from product desorption
A4,Hydrogenated products,SiH2F and SiHF2 bound motifs -> SiH2F2/SiHF3,"Hydrogen inventory, remaining backbonds, desorbed product state",P2e/P3e conditional rates; initial populations assumed,open,,"Hydrogen inventory, remaining backbonds, desorbed product state"
A5,Proton transfer and coadsorbates,"HF dimers, HF/H2O clusters, hydroxyls, NHx",Concerted versus stepwise transfer; termination/coverage dependence,Eight force-converged coadsorbate starts; full mobile-host Hessians reveal unstable parent reference; screened energies gated; no new rates,partial_calculated_candidates,docs/intermediate_results/FULL_STABILITY.md,Resolve remaining soft modes; DFT comparison; matched termination and proton-transfer pathways
A6,Retention and passivation,"Adsorbed NH3, NH4F, AFS, NH5F2 and retained SiFx",Formation/decomposition/desorption states and chemical potentials,Candidates only; not enabled in new kMC,open,data/intermediate_campaign/sources.json,Compare water-assisted cleavage against water-assisted AFS destabilization using explicit retained salts
B1,Chlorine/silicon backbonds,"SiCl, SiCl2, SiCl3, adsorbed SiCl4, dimer configurations","Facet-specific bond breaking, recombination, SiCl2 vs SiCl4 release",Published SiCl4 stationary points and halogen migration exist; full removal network missing,open,,"Facet-specific bond breaking, recombination, SiCl2 vs SiCl4 release"
B2,Fluorocarbon branch,"CFx/CHxFy adsorption, C-N intermediates, carbon film, HCN/FCN","Radical/ion speciation, carbon retention, O-assisted clearing",Fragment catalog exists; molecular CH3F NEB did not converge,open,,"Radical/ion speciation, carbon retention, O-assisted clearing"
B3,Defects and composition,"Undercoordinated Si/N, N vacancies, Si-rich and H-rich amorphous motifs","Ensemble of structures with controlled density, N/Si and H content",Ideal beta-Si3N4(001) cannot substitute for amorphous SiNx:H,open,,"Ensemble of structures with controlled density, N/Si and H content"
B4,Lateral and ion events,"F/Cl migration, neighboring reactive pairs, sputtering, ion-assisted removal",Neighbor-state propensities and energy/angle-resolved yields,Original motif model has no spatial interactions; multilayer graph updates bonds/exposure but has no diffusion or ion-yield events,open,,Neighbor-state propensities and energy/angle-resolved yields
